"Notes"	"Cause of death"	"Cause of death Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"55-64 years"	"55-64"	"Female"	"F"	14	12378763	0.1 (Unreliable)
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"55-64 years"	"55-64"	"Male"	"M"	20	11399263	0.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"65-74 years"	"65-74"	"Female"	"F"	71	10125424	0.7
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"65-74 years"	"65-74"	"Male"	"M"	56	8293485	0.7
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"75-84 years"	"75-84"	"Female"	"F"	161	7411198	2.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"75-84 years"	"75-84"	"Male"	"M"	136	4813716	2.8
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"85+ years"	"85+"	"Female"	"F"	232	2960708	7.8
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"85+ years"	"85+"	"Male"	"M"	85	1193310	7.1
	"Other specified bacterial intestinal infections"	"A04.8"	"75-84 years"	"75-84"	"Female"	"F"	18	7411198	0.2 (Unreliable)
	"Other specified bacterial intestinal infections"	"A04.8"	"75-84 years"	"75-84"	"Male"	"M"	15	4813716	0.3 (Unreliable)
	"Other specified bacterial intestinal infections"	"A04.8"	"85+ years"	"85+"	"Female"	"F"	21	2960708	0.7
	"Other specified bacterial intestinal infections"	"A04.8"	"85+ years"	"85+"	"Male"	"M"	10	1193310	0.8 (Unreliable)
	"Viral intestinal infection, unspecified"	"A08.4"	"65-74 years"	"65-74"	"Female"	"F"	10	10125424	0.1 (Unreliable)
	"Viral intestinal infection, unspecified"	"A08.4"	"75-84 years"	"75-84"	"Female"	"F"	12	7411198	0.2 (Unreliable)
	"Viral intestinal infection, unspecified"	"A08.4"	"85+ years"	"85+"	"Female"	"F"	35	2960708	1.2
	"Viral intestinal infection, unspecified"	"A08.4"	"85+ years"	"85+"	"Male"	"M"	12	1193310	1.0 (Unreliable)
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"75-84 years"	"75-84"	"Female"	"F"	24	7411198	0.3
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"85+ years"	"85+"	"Female"	"F"	23	2960708	0.8
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"35-44 years"	"35-44"	"Male"	"M"	24	22407073	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"45-54 years"	"45-54"	"Male"	"M"	37	17945514	0.2
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"55-64 years"	"55-64"	"Female"	"F"	17	12378763	0.1 (Unreliable)
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"55-64 years"	"55-64"	"Male"	"M"	53	11399263	0.5
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"65-74 years"	"65-74"	"Female"	"F"	29	10125424	0.3
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"65-74 years"	"65-74"	"Male"	"M"	57	8293485	0.7
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"75-84 years"	"75-84"	"Female"	"F"	55	7411198	0.7
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"75-84 years"	"75-84"	"Male"	"M"	69	4813716	1.4
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"85+ years"	"85+"	"Female"	"F"	48	2960708	1.6
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"85+ years"	"85+"	"Male"	"M"	49	1193310	4.1
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"45-54 years"	"45-54"	"Male"	"M"	25	17945514	0.1
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"55-64 years"	"55-64"	"Male"	"M"	29	11399263	0.3
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"65-74 years"	"65-74"	"Male"	"M"	38	8293485	0.5
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"75-84 years"	"75-84"	"Female"	"F"	39	7411198	0.5
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"75-84 years"	"75-84"	"Male"	"M"	50	4813716	1.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"85+ years"	"85+"	"Female"	"F"	27	2960708	0.9
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"85+ years"	"85+"	"Male"	"M"	24	1193310	2.0
	"Miliary tuberculosis, unspecified"	"A19.9"	"45-54 years"	"45-54"	"Male"	"M"	12	17945514	0.1 (Unreliable)
	"Pulmonary mycobacterial infection"	"A31.0"	"45-54 years"	"45-54"	"Male"	"M"	12	17945514	0.1 (Unreliable)
	"Pulmonary mycobacterial infection"	"A31.0"	"55-64 years"	"55-64"	"Male"	"M"	13	11399263	0.1 (Unreliable)
	"Pulmonary mycobacterial infection"	"A31.0"	"65-74 years"	"65-74"	"Female"	"F"	18	10125424	0.2 (Unreliable)
	"Pulmonary mycobacterial infection"	"A31.0"	"65-74 years"	"65-74"	"Male"	"M"	18	8293485	0.2 (Unreliable)
	"Pulmonary mycobacterial infection"	"A31.0"	"75-84 years"	"75-84"	"Female"	"F"	30	7411198	0.4
	"Pulmonary mycobacterial infection"	"A31.0"	"75-84 years"	"75-84"	"Male"	"M"	27	4813716	0.6
	"Pulmonary mycobacterial infection"	"A31.0"	"85+ years"	"85+"	"Female"	"F"	16	2960708	0.5 (Unreliable)
	"Meningococcaemia, unspecified"	"A39.4"	"< 1 year"	"1"	"Male"	"M"	10	1943639	0.5 (Unreliable)
	"Meningococcaemia, unspecified"	"A39.4"	"1-4 years"	"1-4"	"Male"	"M"	11	7846168	0.1 (Unreliable)
	"Septicaemia due to streptococcus, group D"	"A40.2"	"55-64 years"	"55-64"	"Female"	"F"	12	12378763	0.1 (Unreliable)
	"Septicaemia due to streptococcus, group D"	"A40.2"	"65-74 years"	"65-74"	"Female"	"F"	23	10125424	0.2
	"Septicaemia due to streptococcus, group D"	"A40.2"	"65-74 years"	"65-74"	"Male"	"M"	22	8293485	0.3
	"Septicaemia due to streptococcus, group D"	"A40.2"	"75-84 years"	"75-84"	"Female"	"F"	39	7411198	0.5
	"Septicaemia due to streptococcus, group D"	"A40.2"	"75-84 years"	"75-84"	"Male"	"M"	36	4813716	0.7
	"Septicaemia due to streptococcus, group D"	"A40.2"	"85+ years"	"85+"	"Female"	"F"	34	2960708	1.1
	"Septicaemia due to streptococcus, group D"	"A40.2"	"85+ years"	"85+"	"Male"	"M"	16	1193310	1.3 (Unreliable)
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"< 1 year"	"1"	"Male"	"M"	12	1943639	0.6 (Unreliable)
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"35-44 years"	"35-44"	"Female"	"F"	10	22669604	0.0 (Unreliable)
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"35-44 years"	"35-44"	"Male"	"M"	22	22407073	0.1
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"45-54 years"	"45-54"	"Female"	"F"	19	18632305	0.1 (Unreliable)
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"45-54 years"	"45-54"	"Male"	"M"	30	17945514	0.2
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-64 years"	"55-64"	"Female"	"F"	23	12378763	0.2
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-64 years"	"55-64"	"Male"	"M"	23	11399263	0.2
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"65-74 years"	"65-74"	"Female"	"F"	17	10125424	0.2 (Unreliable)
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"65-74 years"	"65-74"	"Male"	"M"	23	8293485	0.3
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-84 years"	"75-84"	"Female"	"F"	31	7411198	0.4
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-84 years"	"75-84"	"Male"	"M"	24	4813716	0.5
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85+ years"	"85+"	"Female"	"F"	32	2960708	1.1
	"Streptococcal septicaemia, unspecified"	"A40.9"	"55-64 years"	"55-64"	"Female"	"F"	11	12378763	0.1 (Unreliable)
	"Streptococcal septicaemia, unspecified"	"A40.9"	"65-74 years"	"65-74"	"Female"	"F"	17	10125424	0.2 (Unreliable)
	"Streptococcal septicaemia, unspecified"	"A40.9"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"Streptococcal septicaemia, unspecified"	"A40.9"	"75-84 years"	"75-84"	"Female"	"F"	24	7411198	0.3
